county,year,f_0,f_1,f_5,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_60,f_65,f_70,f_75,f_80,f_85,f_90,m_0,m_1,m_5,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_60,m_65,m_70,m_75,m_80,m_85,m_90,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Kakamega,2021,20604.220703125,80785.640625,115661.75,123847.40625,105987.328125,67079.6796875,54183.6796875,53271.71484375,40225.26953125,37081.421875,30214.783203125,28976.8125,23803.734375,18385.49609375,12112.7900390625,7465.49267578125,5887.896484375,3552.404296875,1462.1971435546875,748.32373046875,20503.4765625,80331.40625,115251.671875,120202.75,102682.328125,63009.43359375,44705.78515625,44680.48046875,39130.390625,33178.3515625,26768.72265625,22893.564453125,19403.609375,14751.8759765625,9407.47265625,6456.84765625,3700.482666015625,1907.850341796875,928.3271484375,515.9315185546875,1601748.8005371094,202224.744140625,870414.4619140625,54146.016357421875,92.6711782530645,29.45387188699523,23.23315535175368,6.220716535241553,12.625247109460211,3.380431209891667
Kericho,2021,11917.17578125,46725.21875,60821.53515625,64522.21484375,57300.78515625,45283.0390625,38452.48046875,35375.08203125,22761.6953125,20465.44921875,18446.83203125,12662.859375,11393.0615234375,7940.775390625,5034.9287109375,3163.951171875,2148.9404296875,1586.19287109375,968.113037109375,656.462158203125,12239.43359375,47953.375,62185.5859375,63973.1875,56763.73828125,44051.7421875,37164.83203125,35067.640625,28080.583984375,22667.21875,19133.66015625,12535.287109375,10515.7138671875,7313.775390625,4899.236328125,3455.177734375,1651.45703125,835.7083740234375,464.78460693359375,301.29425048828125,938880.2252197266,118835.203125,543376.251953125,25166.246704101562,100.77554158938413,26.50124095624334,21.869782254534645,4.631458701708693,12.65712067768697,2.6804533771293237
Kiambu,2021,34698.3984375,136046.515625,142667.609375,131282.28125,136060.65625,172695.71875,154175.9375,131107.1875,117413.6640625,85372.734375,67489.3671875,53712.171875,35326.79296875,20672.703125,13950.2734375,9447.78125,7271.51953125,5054.431640625,2544.139892578125,1440.88623046875,35442.93359375,138863.3125,143201.421875,127912.4609375,119733.703125,154406.921875,152113.03125,137405.453125,116667.5546875,88314.0546875,70685.2578125,55257.7265625,37066.96875,20462.62890625,12489.65234375,8588.6474609375,4304.962890625,2072.44873046875,1020.97314453125,588.8136596679688,2885029.6981811523,345051.16015625,1926140.234375,68774.53021240234,97.81739092487493,21.484712430760876,17.914124527294,3.5705879034668793,11.9600557447913,2.383841325992616
Kilifi,2021,23310.765625,91397.546875,112925.359375,111649.859375,98289.4609375,77906.7109375,65430.80078125,56107.47265625,39117.97265625,38868.33203125,26984.013671875,23335.12890625,18017.25,18507.802734375,10459.619140625,6713.5419921875,4474.439453125,2677.415283203125,1344.9561767578125,771.1104125976562,23701.8828125,92862.5703125,114540.2734375,110429.2265625,96858.5859375,73563.0859375,58387.10546875,47281.72265625,37820.59765625,33114.76953125,27469.337890625,21931.17578125,16226.244140625,11834.755859375,8408.9365234375,5109.69921875,3097.64794921875,1457.9510498046875,572.0517578125,282.0513000488281,1613239.2308044434,231272.765625,887052.326171875,45369.42025756836,94.76754393852619,31.186681745871013,26.07205446640006,5.114627279470952,14.33592496443789,2.812318185130227
Kirinyaga,2021,8825.3291015625,34602.61328125,41252.76953125,43552.00390625,43334.046875,33642.19921875,29965.205078125,34823.18359375,39255.453125,32546.265625,28188.59765625,25702.869140625,19626.08984375,11633.205078125,8792.935546875,6396.35498046875,4037.767333984375,3238.63232421875,2297.51953125,1492.40478515625,8874.349609375,34769.1796875,41474.05859375,43258.9296875,43434.85546875,35070.515625,30539.578125,35941.9765625,39209.5703125,32583.830078125,27801.447265625,24921.728515625,19070.072265625,11217.265625,7536.02734375,5016.6953125,2616.70166015625,1450.0511474609375,809.0272827148438,494.8524169921875,899296.1581420898,87071.4716796875,598507.955078125,44178.969665527344,98.43013074071675,21.929606821697522,14.54808928451449,7.381517537183033,9.682179879381861,4.912616301708588
Kisii,2021,15125.98046875,59306.390625,85413.3125,95117.59375,78447.890625,55914.3046875,50539.5078125,50639.6484375,33376.671875,28020.83984375,28145.4765625,17249.96484375,20987.96484375,15653.03515625,9659.8974609375,5869.6220703125,3627.543701171875,2534.6865234375,1528.11962890625,1022.7640380859375,15246.310546875,59734.140625,85717.265625,94437.671875,75370.4453125,47875.171875,40252.0390625,40044.65625,33144.7578125,27425.61328125,22066.38671875,16848.3671875,18240.25,12887.0390625,7566.5400390625,4967.2353515625,2636.2822265625,1409.3056640625,766.5152587890625,488.8345031738281,1265306.0437316895,149412.822265625,713130.03125,42077.34646606445,92.2428069993933,26.852069095454944,20.95169404151005,5.900375053944898,11.80843346207143,3.325467911460244
Kisumu,2021,16257.029296875,63741.04296875,80359.5859375,87994.5390625,78055.296875,65668.5546875,55245.08984375,48324.609375,34650.9765625,26757.0078125,19381.25,18294.38671875,15820.259765625,12498.546875,8414.8232421875,5327.23486328125,3619.5546875,2234.40576171875,1074.1826171875,618.5517578125,16216.81640625,63536.51953125,80361.59375,85732.28125,72452.3671875,57690.33984375,49215.0703125,46734.7109375,39767.359375,29885.8515625,20392.166015625,15750.3447265625,12543.0947265625,9480.8134765625,6340.7177734375,4401.208984375,2232.508056640625,1092.9033203125,554.6499633789062,334.18817138671875,1259052.4340820312,159751.408203125,728608.0966796875,36244.92919921875,95.40280526849448,26.90010422551043,21.92556038439898,4.9745438411114495,12.688225198468317,2.878746604834194
Kitui,2021,13453.15625,52747.53125,72644.359375,85657.890625,77911.7578125,45770.40625,35805.0234375,36478.75,33960.65234375,29264.134765625,28052.78515625,21619.109375,16687.966796875,13044.1103515625,10414.48828125,8213.8583984375,5025.29052734375,3613.639892578125,2525.785888671875,1948.65576171875,13743.5546875,53846.4296875,74356.1171875,86452.6171875,78821.015625,45791.5078125,32449.630859375,31560.19140625,28799.58984375,24854.07421875,22770.412109375,18013.810546875,14270.310546875,10798.880859375,7995.7197265625,5637.912109375,3511.703857421875,2174.946533203125,1253.3472900390625,818.572998046875,1152759.697631836,133790.671875,646724.1201171875,53133.92126464844,93.79344905667372,28.903296989414496,20.6874411690037,8.215855820410793,11.606119831379598,4.609279919640126
Kwale,2021,15407.53125,60409.34375,73158.6875,68594.25,56169.79296875,43140.828125,37700.234375,32265.638671875,25202.943359375,22825.76171875,16652.869140625,11470.546875,9576.97265625,9947.220703125,6173.677734375,4065.7294921875,2186.850341796875,1335.798828125,814.3764038085938,549.7618408203125,15690.466796875,61473.31640625,75107.6328125,68819.96875,55895.6484375,38438.890625,32516.80859375,28515.3984375,23774.255859375,20935.580078125,17180.869140625,13431.7685546875,9904.16015625,7779.5869140625,5441.7490234375,3385.40087890625,1925.7659912109375,949.870361328125,412.69073486328125,206.33924865722656,979434.9835357666,152980.658203125,513325.775390625,27448.0108795166,96.81248152664926,35.148959536532324,29.801865703453416,5.347093833078909,15.619276498667,2.802433172279502
Laikipia,2021,7531.4375,29529.48046875,34992.89453125,34486.04296875,30931.6171875,23901.53125,20075.033203125,19550.8046875,17607.63671875,14686.3173828125,12742.9931640625,11499.4716796875,8645.9990234375,5702.81494140625,4062.354736328125,2874.720703125,2105.60498046875,1272.8839111328125,579.9724731445312,344.9720153808594,7768.14453125,30435.12890625,35844.359375,35616.20703125,32146.876953125,23881.13671875,20085.52734375,19880.998046875,18468.3984375,15191.2109375,12714.779296875,11067.185546875,8309.44921875,5136.71484375,3465.301513671875,2726.27783203125,1555.8768310546875,761.7353515625,356.907470703125,195.9921112060547,568732.7918243408,75264.19140625,332226.49658203125,20302.59992980957,100.87721975258455,28.76555371689411,22.65448186119202,6.111071855702088,13.233664822600232,3.5697959079666086
Lamu,2021,2253.7568359375,8836.5966796875,10770.6484375,10282.6787109375,8758.453125,6880.6767578125,5748.154296875,5285.31884765625,4486.9990234375,3827.141357421875,3214.210693359375,2521.1337890625,2111.5439453125,1562.637451171875,1008.1102294921875,646.5411376953125,354.1788330078125,203.5455322265625,114.85227966308594,96.05722045898438,2382.24853515625,9333.51171875,11124.755859375,10675.36328125,9293.9072265625,8575.9013671875,7698.47509765625,6691.4873046875,5415.099609375,4597.94677734375,3889.755615234375,3034.517333984375,2308.772216796875,1611.1553955078125,1040.2431640625,722.9320678710938,372.1227111816406,166.73887634277344,74.9757308959961,42.25989532470703,168015.40496826172,22806.11376953125,97513.28723144531,4842.557678222656,112.77674930283337,28.35374771248403,23.387698658339264,4.966049054144763,13.573823051427544,2.8822105205992394
Machakos,2021,17749.697265625,69593.546875,83503.4765625,88923.1640625,83425.078125,77404.1953125,69088.7421875,63533.38671875,59130.50390625,46876.3203125,36772.265625,29824.005859375,23743.76953125,18356.333984375,12936.3359375,7869.7529296875,5730.8662109375,4508.66943359375,2666.106689453125,1606.06787109375,18188.05078125,71259.71875,86073.59375,89259.703125,82798.671875,78980.5078125,71837.40625,68714.296875,62408.7578125,49188.5625,40007.7734375,30213.41796875,23474.08984375,17594.1484375,10529.7880859375,6542.65380859375,3330.661865234375,2020.589599609375,1310.7587890625,850.9757690429688,1617826.412536621,176791.013671875,1033372.234375,59903.226989746094,101.41200755263853,22.905031970863583,17.10816371786891,5.796868252994674,10.927687439264943,3.702698047550273
Makueni,2021,10289.7626953125,40344.40625,55881.55078125,67447.640625,62629.83203125,38652.796875,32771.359375,33023.55078125,31627.390625,26821.03125,26534.69921875,19680.3671875,16284.6650390625,13756.060546875,10656.2607421875,6764.90625,4741.78662109375,3739.916015625,2286.9794921875,1364.119873046875,10586.7880859375,41478.41015625,57778.1953125,68020.9921875,65256.5234375,43988.01171875,34256.890625,33315.2578125,31160.1953125,26003.525390625,23640.396484375,18451.310546875,14465.607421875,11715.93359375,8139.44140625,5416.57763671875,2910.98828125,1779.0615234375,1130.4600830078125,759.1396484375,1005552.7889404297,102699.3671875,604035.4052734375,49689.63757324219,99.00150707030141,25.228488832001172,17.002209852419096,8.226278979582077,10.213224836829928,4.941524514650405
Mandera,2021,19572.65625,76717.6328125,92613.3984375,74513.625,55528.765625,38614.41015625,29691.86328125,22719.51171875,17741.404296875,13856.7021484375,7544.333984375,6523.87646484375,3599.96337890625,3224.62109375,1391.600830078125,1326.5341796875,528.5816650390625,313.073974609375,348.04962158203125,450.794921875,16968.36328125,66455.421875,84191.9296875,81323.6015625,63659.69140625,40021.6328125,29001.271484375,24153.771484375,16177.6318359375,15834.15625,9172.8974609375,8669.6357421875,4671.2685546875,4526.8095703125,1928.0211181640625,1695.561767578125,830.8223876953125,452.8682861328125,353.16937255859375,302.6690673828125,937212.5948486328,179714.07421875,414934.21875,9921.747192382812,100.76470255374521,45.70262293199524,43.31146145529845,2.3911614766967957,19.175379759783876,1.0586442443174007
Marsabit,2021,8436.3046875,33077.203125,43705.2578125,39091.43359375,30929.958984375,23602.4765625,18685.9140625,14595.2294921875,10416.564453125,8430.0,6749.7763671875,6287.37060546875,4150.3154296875,3468.39404296875,1933.99462890625,1787.209716796875,795.526611328125,488.4495849609375,466.1047668457031,516.6691284179688,8786.771484375,34425.9296875,45343.59765625,43668.14453125,38827.453125,28493.76953125,22848.04296875,18136.990234375,12502.4521484375,10724.775390625,7462.9892578125,7036.5400390625,4450.150390625,3842.5830078125,1996.0169677734375,2057.46875,880.8200073242188,468.0986022949219,420.019775390625,384.7307434082031,550371.4979553223,84726.208984375,281641.74609375,12195.109283447266,113.64179341257683,34.41298018212119,30.082972485255155,4.3300076968660335,15.394367131862788,2.215795935791216
Meru,2021,18362.375,71995.75,89051.34375,97351.359375,89224.21875,67511.9765625,56368.9921875,57825.640625,56775.015625,43792.9296875,38527.1875,27924.794921875,24731.857421875,18003.365234375,12990.671875,9588.04296875,5640.74755859375,4185.70458984375,2868.756591796875,1822.5238037109375,18586.55859375,72821.03125,90247.9375,96523.1328125,84333.3046875,69216.40625,59039.4453125,59956.2421875,59061.796875,47078.40625,37653.17578125,28420.56640625,23312.912109375,16183.873046875,11103.384765625,7878.5458984375,4176.5234375,2293.99609375,1273.4896240234375,761.1837158203125,1584465.1666259766,181765.71484375,964942.107421875,64583.57092285156,99.41836502830603,25.529954996450066,18.836955444859825,6.692999551590247,11.471739402817494,4.076048642986478
Migori,2021,18980.419921875,74401.59375,95185.2421875,97450.15625,78174.28125,60051.0078125,47153.1796875,41046.8125,27648.05859375,23408.2421875,19802.798828125,15506.244140625,13249.7646484375,10104.9921875,6832.76806640625,4358.05029296875,3054.5322265625,1937.0096435546875,965.144775390625,609.49853515625,18845.6953125,73818.2421875,94554.3125,95209.6328125,74054.6328125,51601.671875,40403.625,36518.078125,29455.46484375,22767.3359375,17090.6796875,12602.2626953125,9960.55859375,7463.4716796875,4737.2109375,3273.84228515625,1838.1866455078125,979.78173828125,520.0543823242188,330.3821105957031,1235944.9196472168,186045.951171875,638063.1630859375,29436.461639404297,93.14059738486351,33.771329435336334,29.15792070993094,4.613408725405395,15.052932231395816,2.3816968840170096
Mombasa,2021,17149.875,67241.734375,72427.90625,63139.98046875,61795.53125,82257.71875,78833.71875,63223.8359375,50618.4140625,36412.59375,25550.08984375,17394.5546875,11605.0673828125,7586.328125,4393.49365234375,2492.314208984375,1410.962646484375,796.2247314453125,401.33319091796875,279.0455017089844,17599.54296875,68953.9609375,71566.828125,60911.03125,52977.0,73457.2578125,79333.1875,69761.375,57022.7578125,45319.734375,35015.265625,24426.0546875,15615.08984375,8716.62109375,4540.1494140625,2451.26904296875,1170.35595703125,459.237548828125,174.1299285888672,90.52511596679688,1354572.0966033936,170945.11328125,896922.1962890625,18659.040939331055,103.69176776267852,21.13942045419901,19.059079370375773,2.080341083823236,12.619860818770517,1.3774859962137735
Murang'a,2021,11601.5,45487.5078125,56679.82421875,56940.0078125,52495.5,36661.75,32110.67578125,34088.3671875,37655.33984375,32354.55078125,30409.076171875,27566.646484375,22722.693359375,15084.470703125,12207.0908203125,9132.32421875,7462.5078125,5425.72314453125,2662.086181640625,1277.7340087890625,11860.751953125,46469.7265625,57670.59375,58217.5703125,55604.6640625,39924.42578125,32600.28515625,36284.90234375,37558.4296875,32753.46484375,29424.716796875,24938.962890625,20537.75,13521.52734375,10332.6875,8162.0078125,4462.03466796875,2301.66455078125,1151.628662109375,606.0302124023438,1054409.2012329102,115419.486328125,644298.19921875,65183.519592285156,98.93560729269907,28.03096549693947,17.91398555328542,10.11697994365405,10.94636562286882,6.181994572511954
Nairobi,2021,65934.6328125,258518.453125,260090.765625,226343.265625,240383.59375,362305.71875,348141.4375,273160.71875,212827.3125,140461.125,94884.921875,65982.15625,38985.1875,21213.494140625,11613.5732421875,6440.13916015625,3833.238525390625,2249.525146484375,1111.614501953125,706.22265625,67234.953125,263422.5625,257784.453125,213157.28125,190711.8125,303973.09375,341285.8125,302896.59375,236041.671875,168372.125,122954.8125,86956.875,53597.01171875,26562.55078125,13099.513671875,7110.361328125,3088.681884765625,1248.819580078125,514.087158203125,270.2441101074219,5295470.413543701,655110.6015625,3631698.025390625,51286.02096557617,100.95235062081753,19.45086341401131,18.038685953027066,1.412177460984242,12.37115025488554,0.9684884809177101
Nakuru,2021,32189.44921875,126209.3515625,148989.59375,150582.65625,136910.875,119966.40625,103142.75,93926.8828125,78885.5625,60743.203125,51457.34375,40708.39453125,29351.857421875,18299.75390625,12262.3193359375,8155.8076171875,6145.25439453125,4000.341796875,1880.037353515625,1039.935546875,33049.2421875,129484.96875,152656.96875,150544.15625,135371.765625,121147.0703125,99564.453125,93555.59375,80777.9609375,64474.046875,52973.1953125,40351.46875,28965.234375,17437.943359375,11496.17578125,7830.07080078125,4186.97216796875,2110.193359375,1022.3672485351562,558.6454467773438,2452406.2692871094,320933.01171875,1468011.76171875,60688.120849609375,100.22131052477359,25.995781676950386,21.8617466213623,4.134035055588087,13.086453730688028,2.4746356918770567
Nandi,2021,11676.97265625,45783.421875,60319.484375,64193.203125,58611.03125,42645.4453125,35284.671875,33765.53515625,24531.09765625,21621.828125,19183.125,14831.19140625,11988.166015625,8088.75634765625,5674.1240234375,3499.32177734375,2758.41552734375,1902.4521484375,904.1531982421875,503.19207763671875,11877.060546875,46533.62109375,61328.96875,64517.046875,58383.46875,42901.84375,33432.09375,32810.0234375,27614.4453125,22794.044921875,19097.28125,14001.4873046875,11115.4990234375,7749.48974609375,4928.478515625,3307.765380859375,2192.939208984375,1202.98974609375,546.9013671875,278.0714111328125,934379.1090698242,115871.076171875,540450.525390625,27698.80438232422,99.75370809356438,26.564851694876285,21.43971940597636,5.125132288899927,12.400863316306893,2.9644074994247696
Narok,2021,22995.6953125,90161.28125,114863.8984375,101861.03125,74290.0625,61428.09765625,50514.81640625,42186.3515625,29776.572265625,25353.525390625,21369.732421875,15792.40625,11861.91015625,8434.8427734375,4761.36572265625,3485.65966796875,2168.92431640625,1416.70751953125,867.95166015625,595.907470703125,23386.76953125,91627.03125,117469.6953125,103342.015625,76892.7265625,57759.4765625,46848.50390625,42494.765625,33225.55078125,26212.1796875,21944.974609375,15918.46484375,10965.9365234375,7624.57421875,4695.6162109375,3292.553955078125,1889.00390625,983.5682983398438,493.83758544921875,288.0840148925781,1371542.0690002441,228170.77734375,680895.470703125,24939.18032836914,100.4631175722319,37.17310050700525,33.51039728728553,3.6627032197197256,16.63607573554562,1.8183314162975706
Nyamira,2021,6613.19189453125,25929.19921875,37813.2265625,43773.71875,35248.9140625,23250.404296875,22699.64453125,24120.580078125,16326.2294921875,14656.4140625,13447.736328125,8843.82421875,10076.291015625,7446.59423828125,4583.6806640625,3034.2158203125,1835.7901611328125,1238.968994140625,748.5775146484375,495.5796813964844,6649.025390625,26050.48828125,38329.03515625,43966.19140625,34309.10546875,20183.509765625,17373.1796875,18195.625,15946.15625,13726.041015625,11279.98046875,8824.310546875,9502.59765625,6795.3203125,3833.945068359375,2693.52392578125,1428.41064453125,743.5811767578125,404.68609619140625,260.2977294921875,582677.7926330566,65241.90478515625,332252.45849609375,21301.25747680664,92.8229628357631,26.04741065083206,19.63624440296603,6.411166247866026,11.196909442924756,3.6557524151638954
Nyandarua,2021,7235.421875,28368.85546875,36382.87109375,39036.06640625,37080.3125,23652.6875,19430.607421875,20753.1484375,21989.6640625,18673.76953125,17696.1796875,15994.345703125,11627.3818359375,6767.78662109375,4782.15576171875,3688.486328125,3307.98193359375,1965.626708984375,764.1871948242188,390.6522521972656,7435.98828125,29133.759765625,37434.92578125,40618.0859375,38788.8125,25121.73828125,19091.484375,20006.6484375,20172.81640625,17144.091796875,15692.509765625,14110.7509765625,10726.99609375,6258.109375,4067.6201171875,3050.266357421875,1849.52880859375,997.0731201171875,503.50347900390625,297.3918762207031,632090.289855957,72174.025390625,380779.84130859375,25664.47393798828,97.78274446588469,25.69424342223055,18.95426636625265,6.739977055977901,11.418309464471013,4.060254420905088
